state,year_month,total_bio_updates
rajasthan,2025-11,375617
rajasthan,2025-12,519433
sikkim,2025-03,4554
sikkim,2025-04,4536
sikkim,2025-05,2972
sikkim,2025-06,2057
sikkim,2025-07,2450
sikkim,2025-09,1842
sikkim,2025-10,1098
sikkim,2025-11,1702
sikkim,2025-12,1365
tamil nadu,2025-03,680675
tamil nadu,2025-04,491490
tamil nadu,2025-05,492262
tamil nadu,2025-06,511757
tamil nadu,2025-07,552778
tamil nadu,2025-09,321118
tamil nadu,2025-10,342477
tamil nadu,2025-11,551417
tamil nadu,2025-12,628178
telangana,2025-03,169652
telangana,2025-04,142160
telangana,2025-05,167061
telangana,2025-06,205116
telangana,2025-07,226619
telangana,2025-09,177244
telangana,2025-10,183372
telangana,2025-11,193899
telangana,2025-12,213154
tripura,2025-03,61839
tripura,2025-04,47615
tripura,2025-05,29969
tripura,2025-06,32493
tripura,2025-07,30667
tripura,2025-09,14988
tripura,2025-10,15393
tripura,2025-11,25307
tripura,2025-12,27053
uttar pradesh,2025-03,1131504
uttar pradesh,2025-04,1257448
uttar pradesh,2025-05,1048878
uttar pradesh,2025-06,856455
uttar pradesh,2025-07,1426001
uttar pradesh,2025-09,1015373
uttar pradesh,2025-10,528929
uttar pradesh,2025-11,1008469
uttar pradesh,2025-12,1094026
uttarakhand,2025-03,61294
uttarakhand,2025-04,73472
uttarakhand,2025-05,62922
uttarakhand,2025-06,59777
uttarakhand,2025-07,83007
uttarakhand,2025-09,62929
uttarakhand,2025-10,38735
uttarakhand,2025-11,103575
uttarakhand,2025-12,195085
west bengal,2025-03,268875
west bengal,2025-04,250432
west bengal,2025-05,289260
west bengal,2025-06,287702
west bengal,2025-07,419961
west bengal,2025-09,276766
west bengal,2025-10,177641
west bengal,2025-11,260098
west bengal,2025-12,251443
